,,,,,,,,,,
Theme: Population,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,
"Table Title: Singapore Residents By Age Group, Ethnic Group And Sex, End June, Annual",,,,,,,,,,
,,,,,,,,,,
Data last updated: 27/09/2022,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Number
  55 - 59 Years,8276,7889,7405,6893,6521,6135,5752,5378,4989,4646
  60 - 64 Years,5327,5028,4694,4414,4159,3864,3707,3517,3385,3326
  65 - 69 Years,3356,3220,3065,2960,2900,2679,2372,2109,1804,1509
  70 - 74 Years,2315,2025,1792,1531,1277,1228,1278,1250,1221,1213
  75 - 79 Years,1005,1071,1049,1022,1039,1013,971,936,922,877
  80 - 84 Years,799,736,738,732,678,691,705,695,650,635
  85 - 89 Years,476,477,474,445,442,393,379,335,303,274
  65 Years & Over,8254,7815,7362,6925,6552,6220,5911,5517,5074,4667
  70 Years & Over,4898,4595,4297,3965,3652,3541,3539,3408,3270,3158
  75 Years & Over,2583,2570,2505,2434,2375,2313,2261,2158,2049,1945
  80 Years & Over,1578,1499,1456,1412,1336,1300,1290,1222,1127,1068
  85 Years & Over,779,763,718,680,658,609,585,527,477,433
  90 Years & Over,303,286,244,235,216,216,206,192,174,159
Other Ethnic Groups (Males),59315,59398,59481,59531,59783,59913,60088,60256,59914,59730
  0 - 4 Years,3045,3095,3150,3154,3108,3059,3009,3299,3651,4080
  5 - 9 Years,3639,3556,3701,3941,4263,4538,4884,4989,5018,4995
  10 - 14 Years,4212,4479,4536,4482,4456,4509,4492,4421,4364,4273
  15 - 19 Years,4186,4135,4045,3990,3905,3736,3545,3351,3156,2938
  20 - 24 Years,3551,3375,3139,2937,2702,2587,2432,2360,2272,2191
  25 - 29 Years,2485,2351,2324,2220,2168,2136,2201,2364,2586,3158
  30 - 34 Years,2482,2524,2678,2900,3418,3954,4632,5282,5834,6318
  35 - 39 Years,4191,4717,5256,5830,6337,6683,7094,7462,7737,7854
  40 - 44 Years,6323,6713,7032,7433,7717,7900,7961,7743,7475,7166
  45 - 49 Years,7330,7385,7225,7065,6860,6761,6513,6482,6138,5812
  50 - 54 Years,6059,5825,5800,5595,5371,5107,4839,4538,4256,3976
  55 - 59 Years,4409,4206,3949,3740,3577,3391,3212,3039,2824,2642
  60 - 64 Years,2930,2789,2670,2499,2370,2233,2162,2052,2004,1985
  65 - 69 Years,1903,1850,1766,1728,1711,1578,1411,1284,1090,900
  70 - 74 Years,1324,1176,1067,907,750,707,704,645,632,620
  75 - 79 Years,565,581,529,516,519,501,460,437,420,398
  80 - 84 Years,376,332,333,332,304,303,316,310,275,259
  85 - 89 Years,199,213,202,178,171,150,148,133,123,116
  65 Years & Over,4473,4248,3976,3745,3531,3319,3112,2874,2599,2342
  70 Years & Over,2570,2398,2210,2017,1820,1741,1701,1590,1509,1442
  75 Years & Over,1246,1222,1143,1110,1070,1034,997,945,877,822
  80 Years & Over,681,641,614,594,551,533,537,508,457,424
  85 Years & Over,305,309,281,262,247,230,221,198,182,165
  90 Years & Over,106,96,79,84,76,80,73,65,59,49
Other Ethnic Groups (Females),70354,69683,69169,68482,67840,66895,66593,66240,65763,65594
  0 - 4 Years,3242,3249,3291,3446,3475,3438,3420,3722,4051,4346
  5 - 9 Years,4108,4089,4348,4600,4868,5152,5425,5422,5347,5274
  10 - 14 Years,4880,5091,5002,5010,4871,4831,4841,4863,4882,4806
  15 - 19 Years,4484,4447,4452,4418,4403,4252,4100,3876,3696,3580
  20 - 24 Years,3804,3634,3467,3368,3307,3183,3098,3118,3029,2970
  25 - 29 Years,3746,3836,4027,4005,3951,3815,3913,4094,4513,5272
  30 - 34 Years,5747,5827,6019,6209,6513,6905,7308,7806,8245,8714
  35 - 39 Years,8061,8188,8404,8483,8679,8653,8844,8940,9030,8974
  40 - 44 Years,8375,8489,8468,8463,8423,8491,8358,8206,7803,7506
  45 - 49 Years,7901,7758,7576,7279,7010,6559,6199,5813,5510,5093
  50 - 54 Years,5961,5586,5249,4953,4586,4340,4203,3933,3636,3389
  55 - 59 Years,3867,3683,3456,3153,2944,2744,2540,2339,2165,2004
  60 - 64 Years,2397,2239,2024,1915,1789,1631,1545,1465,1381,1341
  65 - 69 Years,1453,1370,1299,1232,1189,1101,961,825,714,609
  70 - 74 Years,991,849,725,624,527,521,574,605,589,593
  75 - 79 Years,440,490,520,506,520,512,511,499,502,479
  80 - 84 Years,423,404,405,400,374,388,389,385,375,376
  85 - 89 Years,277,264,272,267,271,243,231,202,180,158
  65 Years & Over,3781,3567,3386,3180,3021,2901,2799,2643,2475,2325
  70 Years & Over,2328,2197,2087,1948,1832,1800,1838,1818,1761,1716
  75 Years & Over,1337,1348,1362,1324,1305,1279,1264,1213,1172,1123
  80 Years & Over,897,858,842,818,785,767,753,714,670,644
  85 Years & Over,474,454,437,418,411,379,364,329,295,268
  90 Years & Over,197,190,165,151,140,136,133,127,115,110
,,,,,,,,,,
Footnotes:,,,,,,,,,,
"Data for 1970 and from 1980 onwards refer to Singapore residents (citizens and permanent residents).  Data prior to 1980 (except 1970) refer to total population.  Data from 2003 onwards exclude residents who are overseas for a continuous period of 12 months or longer as at the reference period.  For more information, please refer to the 'Population Trends' publication (www.singstat.gov.sg/publications/population/population-trends) and the Information Paper on 'Singapore Resident Population, 2003-2007' (www.singstat.gov.sg/-/media/files/publications/population/respop.pdf).",,,,,,,,,,
Total Indians (Number):,,,,,,,,,,
"From 1970, Indians include Sri Lankans (Ceylonese) who were previously classified under 'Others'.",,,,,,,,,,
Total Male Indians (Number):,,,,,,,,,,
"From 1970, Indians include Sri Lankans (Ceylonese) who were previously classified under 'Others'.",,,,,,,,,,
Total Female Indians (Number):,,,,,,,,,,
"From 1970, Indians include Sri Lankans (Ceylonese) who were previously classified under 'Others'.",,,,,,,,,,
,,,,,,,,,,
Notation:,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,
Notes,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,
,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,
Date generated: 15/01/2023,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,
